	id	filename	md5	size	state
94	c5d02e6c-2f71-45b7-aa7c-72b152119a76	TCGA-IB-7651-01A-01-BS1.34c1f2c6-99ef-465a-a1c8-a6366e3d482e.svs	38b827663c3262523d7fc720221d0dd8	450599825	released
99	0d957412-7a54-4142-b275-f01e7f68298f	TCGA-IB-8127-01A-01-TS1.b83929e9-8108-4700-8fcc-086ae68b2d62.svs	ffa37391264eb1f4a7f3ebcb8a083f8a	278249095	released
101	ec50d7a9-9d29-485a-b298-b0ac6a8029e8	TCGA-HZ-8636-01A-01-BS1.f063cefa-61a7-43f1-8b79-c22ce0f8e8c9.svs	6c88b23734fa9862d14dbe340ae95e02	264242905	released
104	a88afebc-e899-482d-af1f-bf0bd8ff0a6c	TCGA-IB-7644-01A-01-TS1.8fcd72ca-6fb6-4c0a-9dca-9c13bc4272e8.svs	e3f5cc8b020193db13be91869cbf8e47	29924911	released
105	82ff2d61-a251-4982-8c7e-67ca33f8c489	TCGA-IB-7652-01A-01-TS1.01dc6fd7-bf02-4b49-986c-5b0552fa8eb6.svs	b6fbffbe3e263f124b30a60e70306afa	72175203	released
106	a56f9aee-aa96-407c-a385-fe4a83db000d	TCGA-IB-7652-01A-01-BS1.3efa096d-6f13-4d9e-9732-37ec6c61d25d.svs	0110eb8c5d083a84bcb369e027bf32dd	891937307	released
107	a6373e26-2714-447b-9656-ae829b388170	TCGA-IB-8126-01A-01-TS1.098769c8-f708-45d8-af6e-96747786553a.svs	e9818cfe180556a1fa52874cea2859c9	59408669	released
109	0dfd90a5-96ea-40be-8484-fb9cd13c8265	TCGA-HZ-7923-01A-01-TS1.e1b46c76-7d5f-434e-b613-1ca91c043f06.svs	de71b7fcfd689c6ae977869a8fa04ad6	38884565	released
113	972ba612-49e2-4a6a-a61b-1b0c4c238d3a	TCGA-F2-7276-01A-01-TS1.010dd1db-9ead-4399-84b9-5381e189054e.svs	0debfebac4f19bc35f94a98e184dfa34	38679389	released
114	91e0c816-0ca5-48d9-8b4e-cecce41bb289	TCGA-F2-6880-01A-01-TS1.b92d57ab-e336-45cb-919f-6fdf5fbacb39.svs	1348abbc0b9e444389ad1d59a0cfa1d1	43307325	released
119	f374862a-560b-4e4b-a3dc-8eb77f64e46f	TCGA-IB-7888-01A-01-BS1.9101f0fb-1058-48b4-8731-6a2f4cf7c5e3.svs	2f5eea5584a6d78441a0d5e22fc77a7e	727960611	released
123	33635671-d513-4781-bb19-982ee75ac21b	TCGA-IB-7647-01A-01-BS1.01002327-bb52-4efd-8297-d068d80107c7.svs	a9d5864911d6bde538c9a7a23ca59403	744588079	released
129	9457d62c-081f-421e-a444-aa779df3b511	TCGA-IB-7885-01A-01-TS1.edbff2cd-0f42-4c4e-b768-01c30383e0b1.svs	ec0445179bf4672c42e5bc8e86af687b	67166843	released
133	04cb4601-196d-4245-a672-21ff8bef6531	TCGA-HZ-8315-01A-01-TS1.796b0537-7b74-4054-9ce4-c914966626e7.svs	899bda52c0c2880c1f196cd3ad94b6fb	498010367	released
135	746a899d-1e90-4e1e-9742-55feec1d3974	TCGA-IB-7893-01A-01-BS1.e863831e-315f-4891-8931-f0b5400a6a2c.svs	fa9c43256abe8962e34d963fdf0e2929	516427195	released
138	7d32901f-95e4-4b1f-b873-d93760082f86	TCGA-IB-7644-01A-01-BS1.c59efa6d-f1d0-4f4f-91ef-0262470d008e.svs	3f8d174109a13ca9037355297c8d4a1b	166248891	released
145	bb1f056e-7286-45ed-91c1-3aa5d054939a	TCGA-IB-7889-01A-01-TS1.9d84adb1-00c7-4f01-8c0f-5fab1b6bec15.svs	69a561c11e423afe97367d68f861c586	188814837	released
146	e904e7d7-f85d-4d43-af34-dfb797a2aa0d	TCGA-IB-7889-01A-01-BS1.4e8096c1-6434-4c96-bcb9-238e995fe928.svs	ef03e33423482d842c0e4bade222d7c4	359116231	released
151	41d3081c-053a-4de1-9693-85bd94c44f9b	TCGA-HZ-8002-01A-01-TS1.f4ffd4c9-ce00-43c5-a152-48151ba27a63.svs	ff636946642937fcacdcda9271dc6e11	203681637	released
153	b2639a47-5fd7-4a92-9570-29a02b7bc0fa	TCGA-HZ-8001-01A-01-TS1.d3738e44-a683-4e1f-9794-b0f76ee0bd61.svs	41b2f317a18deb288988cf54fce8a168	58557581	released
156	b2b5dfee-43e2-4e35-9e41-6d7d0cf3ec2a	TCGA-FZ-5924-01A-01-TS1.493daee4-9604-4259-8611-120a6bc241b3.svs	599071bca63e02a5e9a0ef5e28ad522c	52667173	released
160	2c4cd501-ddc4-4286-babb-f3c9b047ffe7	TCGA-HZ-8637-01A-01-TS1.0c1e65be-bd97-4bf6-b299-553266a31edd.svs	80e585fd513c64814fd9d4c66b38e36e	635152469	released
165	3f862311-1488-4ff3-8d9e-31227bdb99fd	TCGA-F2-6879-01A-01-TS1.bcbcc947-cab1-4400-aebc-1d9e251a3ce8.svs	0ee352414c9967eb7c94b1ae446f122f	68963181	released
166	7a6f1800-9c2a-4bf8-9fe0-ea335aa6ee7c	TCGA-F2-6879-01A-01-BS1.cae8d0b9-3605-40af-bf99-7c23df8110a9.svs	e1a51a2cbb438572b59917dc1e307276	68553035	released
168	f8557c6f-6b3f-4392-8823-41cd5d953b6f	TCGA-FZ-5920-01A-01-BS1.797e1424-9768-472f-8f46-e1a918bfabc4.svs	c8108f776a42cb2f43dfc47d6559dabd	241652727	released
169	6519aaf7-ea8c-4234-94cb-67b4bb8d9402	TCGA-FZ-5920-01A-01-TS1.ed875f57-3afb-4d20-8e2d-e250ddb6c462.svs	3a99991b496e10d8f494c5e6300ae79d	199450169	released
176	cd4d75a6-03b7-4776-8118-b1494cbb55e3	TCGA-IB-7891-01A-01-BS1.c5fbc8db-60ce-41a1-9bd9-f754b32380d7.svs	65cc7efa5bc0a5af0ab68c107372bac4	703258773	released
180	7dae0893-4ed7-453b-a50e-30bd3664017b	TCGA-IB-7887-01A-01-TS1.8ce76657-42b6-48a8-ba12-c2b697173e10.svs	4d45eb313d51c41e84004a6cae608c03	37881393	released
181	b10d6362-a6b4-4a3b-a5ee-dfbb82c1e6a3	TCGA-IB-7887-01A-01-BS1.b8ab3b8d-1b01-4624-9f0c-d41c6d6131d8.svs	3e396038a57090c777966c1423b0e088	567405849	released
195	c3133612-f823-4ece-8976-01e78f5771ad	TCGA-IB-7890-01A-01-BS1.2a161600-602c-4f1e-83e3-8ca0cf6f3e2c.svs	377a0d49f4ffd6f85e955ca7616dcab6	489186757	released
196	5af47c9d-8cf7-44c5-aeb4-706ac0335871	TCGA-IB-7890-01A-01-TS1.4b962362-97b4-4c32-9a76-d7080d1bd576.svs	81c7325706abcee12fc2aa2629345cfd	128928805	released
200	fb9c07db-d18d-414c-9abc-14b6c7fd7bc3	TCGA-HZ-8003-01A-01-BS1.cdfaf4a4-9641-43d2-ab0b-46c06d2c7feb.svs	57bbc05e9c9b78c64a4bebee8f744de3	86696935	released
205	3e25cd88-7ef8-4d8a-8ef0-4fdbe684927e	TCGA-IB-7645-01A-01-BS1.e5f229ea-0c8f-475d-8a08-f6a315e577a2.svs	6a3301df23886af0fb31067ac4915df0	247785955	released
208	07c9fbd6-ab1b-4bba-a701-70c40e10db5b	TCGA-H6-8124-01A-01-TS1.a1e1e515-737e-49f4-a39c-6ccdef0c47e0.svs	44a40bf6a5f2e184cf169570686232c6	91666743	released
210	66699aa9-428d-4f42-a939-f2b5e55033ec	TCGA-FZ-5923-01A-01-BS1.3dab7048-156c-4c2e-99fe-d70e14453008.svs	45d193f1c4c09e688a98ab248986fe96	143537617	released
212	cb4fde93-4847-4def-b69c-ccdfcec8a154	TCGA-FZ-5923-01A-01-TS1.9d021c35-a689-41be-bbc4-5a98a38ff4da.svs	bad523c3d28c9fdd95db7246e105a1be	216480425	released
218	5daa4b68-a120-41e4-b604-63b78618c61f	TCGA-HZ-8317-01A-01-TS1.29b0c467-5eab-4cc5-a979-3b4374e9dc4a.svs	e3c7ea5972c609c6cc1ca862c51b6fd0	71204321	released
220	692d6e05-a162-4e69-9ea3-698d925cc64a	TCGA-FZ-5922-01A-01-TS1.dbd8e59f-01fd-40de-b2b3-c055f045b9ca.svs	01ab940ddba099182279e36ee769f695	105245331	released
229	bc898eb9-dcce-4694-807c-417775c72fe8	TCGA-IB-7891-01A-01-TS1.ac63a7e8-7f3f-410d-8cdf-0a492b42f171.svs	0757c084117b32ce23dfcc0b87f81d1f	128097209	released
241	648e9296-26b9-4d25-8b48-d4f03239f894	TCGA-FZ-5922-01A-01-BS1.c327c7dd-f22c-47a7-a86e-127f1b97e445.svs	946c7f582537173c077f1aaab5222d70	92798519	released
247	77dc6c87-4695-4efd-9b6f-aec93550d9aa	TCGA-IB-7646-01A-01-TS1.15de8678-3471-493d-b49a-1e28ab861713.svs	1883fb335952925b9000cb06e593638b	34734553	released
250	1bffc496-a021-48d0-b32b-ac1c568dbc46	TCGA-IB-7649-01A-01-TS1.bbd1df8b-ea7f-473d-8898-ce66f8c7a9c9.svs	500cde9c3acf6041e6749ff943c22520	43587551	released
251	4395882a-dcdf-470b-9119-1d4a470e3300	TCGA-IB-7649-01A-01-BS1.02777e34-13e2-4a1e-a62e-f5b009aec076.svs	4705ce5540f608d4e9981c7eb18682fc	300228871	released
